1662462637.3965306,0.0,0.0,0.0,0.0012320513672079776,681.5583333333333,14327,13644,14335,13658,
1662462638.4205892,0.0,0.0,0.0,0.0012388780430040488,681.5583333333333,14327,13644,14335,13658,
1662462639.4356475,0.0,0.0,0.0,0.0012457047188001202,681.5583333333333,14327,13644,14335,13658,
1662462640.4507053,0.0,0.0,0.0,0.0012525313945961913,681.5583333333333,14327,13644,14334,13658,
1662462641.4687636,0.0,0.0,0.0,0.0012593580703922627,681.5583333333333,14327,13644,14334,13658,
1662462642.4838219,0.0,0.0,0.0,0.0012661847461883338,681.5583333333333,14327,13644,14334,13658,
1662462643.4988797,0.0,0.0,0.0,0.0012730114219844052,681.5583333333333,14327,13644,14335,13658,
1662462644.513938,0.0,0.0,0.0,0.0012798380977804764,681.5583333333333,14327,13644,14335,13658,
1662462645.5329962,0.0,0.0,0.0,0.0012866647735765477,681.5583333333333,14327,13644,14335,13658,
1662462646.5480542,0.0,0.0,0.0,0.0012823780420290975,681.55,14327,13645,14335,13658,
1662462647.5651124,0.0,0.0,0.0,0.0012879906118039607,681.55,14327,13634,14335,13658,
1662462648.5851707,0.0,0.0,0.0,0.0013893611160100008,681.625,14329,13640,14335,13658,
1662462649.6002288,0.0,0.0,0.0,0.001489881953019334,681.7,14329,13640,14335,13658,
1662462650.616287,0.0,0.0,0.0,0.001589542124877996,681.775,14329,13642,14335,13658,
1662462651.6333451,0.0,0.0,0.0,0.001688332873774692,681.85,14329,13642,14335,13658,
1662462652.6484032,0.0,0.0,0.0,0.0017862471220397164,681.925,14329,13642,14336,13658,
1662462653.6634612,0.0,0.0,0.0,0.0018832790768358407,682.0,14329,13642,14337,13658,
1662462654.6845198,0.0,0.0,0.0,0.00197942394464835,682.075,14331,13642,14339,13658,
1662462655.7065783,0.0,0.0,0.0,0.0020746777209034797,682.15,14331,13642,14339,13658,
1662462656.7246363,0.0,0.0,0.0,0.0021690370321783862,682.225,14329,13644,14337,13658,
1662462657.7476947,0.0,0.0,0.0,0.0022624990159775525,682.3,14330,13644,14337,13658,
1662462658.7707534,0.0,0.0,0.0,0.002355061227830924,682.375,14330,13637,14337,13658,
1662462659.7938118,0.0,0.0,0.0,0.002446721568586816,682.45,14330,13637,14337,13658,
1662462660.8198705,0.0,0.0,0.0,0.0025374782268512185,682.525,14331,13643,14337,13658,
1662462661.843929,0.0,0.0,0.0,0.0026273296329385543,682.6,14331,13643,14337,13658,
1662462662.8659875,0.0,0.0,0.0,0.002716274421677583,682.675,14331,13644,14337,13658,
1662462663.892046,0.0,0.0,0.0,0.0028043114021047214,682.75,14331,13644,14337,13658,
1662462664.919105,0.0,0.0,0.0,0.0028914395325689963,682.825,14331,13644,14337,13658,
1662462665.9591644,0.0,0.0,0.0,0.0029776579001290363,682.9,14328,13644,14336,13658,
1662462666.9882233,0.0,0.0,0.0,0.003062965703383725,682.975,14328,13644,14336,13658,
1662462668.0022812,0.0,0.0,0.0,0.003147362238071992,683.05,14328,13637,14336,13658,
1662462669.0183394,0.0,0.0,0.0,0.003230846884922525,683.125,14328,13637,14336,13658,
1662462670.0353975,0.0,0.0,0.0,0.0033134190993443667,683.2,14329,13641,14337,13658,
1662462671.0534558,0.0,0.0,0.0,0.003395078402633534,683.275,14329,13641,14337,13658,
1662462672.0715141,0.0,0.0,0.0,0.0034758243744357838,683.35,14328,13641,14335,13658,
1662462673.0885723,0.0,0.0,0.0,0.003555656646256188,683.425,14328,13641,14336,13658,
1662462674.1056304,0.0,0.0,0.0,0.00363457489584575,683.5,14328,13641,14336,13658,
1662462675.1206884,0.0,0.0,0.0,0.003677791350197178,683.55,14328,13641,14334,13658,
1662462676.1387467,0.0,0.0,0.0,0.003721304427159257,683.6,14328,13641,14334,13658,
1662462677.1558049,0.0,0.0,0.0,0.003765068438064027,683.65,14328,13641,14334,13658,
1662462678.1738632,0.0,0.0,0.0,0.003809041057072713,683.7,14327,13641,14335,13658,
1662462679.1949215,0.0,0.0,0.0,0.0038531829996733672,683.75,14327,13641,14334,13656,
1662462680.2099795,0.0,0.0,0.0,0.003897457738702848,683.8,14327,13635,14334,13656,
1662462681.2260377,0.0,0.0,0.0,0.003941831252757402,683.85,14327,13635,14334,13652,
1662462682.242096,0.0,0.0,0.0,0.003986271802657896,683.9,14327,13639,14333,13652,
1662462683.260154,0.0,0.0,0.0,0.004030749732297542,683.95,14327,13639,14334,13652,
1662462684.275212,0.0,0.0,0.0,0.0040752372907487825,684.0,14327,13639,14334,13652,
1662462685.29027,0.0,0.0,0.0,0.004119708472962994,684.05,14327,13639,14333,13652,
1662462686.3053281,0.0,0.0,0.0,0.004164138876778861,684.1,14327,13635,14333,13652,
1662462687.3203864,0.0,0.0,0.0,0.004208505574276041,684.15,14327,13636,14334,13652,
1662462688.3374443,0.0,0.0,0.0,0.004252786995781122,684.2,14327,13639,14334,13652,
1662462689.3515024,0.0,0.0,0.0,0.004296962825061449,684.25,14327,13639,14334,13652,
1662462690.3695605,0.0,0.0,0.0,0.0043410139044364185,684.3,14327,13640,14334,13652,
1662462691.3846188,0.0,0.0,0.0,0.004384922148701008,684.35,14327,13640,14335,13652,
1662462692.399677,0.0,0.0,0.0,0.004428670466897395,684.4,14327,13636,14335,13652,
1662462693.4147348,0.0,0.0,0.0,0.004472242691091357,684.45,14327,13636,14335,13652,
1662462694.4297931,0.0,0.0,0.0,0.0045156235114140455,684.5,14327,13634,14335,13650,
1662462695.444851,0.0,0.0,0.0,0.004558798416719169,684.55,14327,13634,14335,13650,
